line_no,col_offset,type,name,file_name
139,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
140,4,Assign,"([<_ast.Name object at 0x805186090>], <_ast.Call object at 0x8051861d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
140,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
141,4,Assign,"([<_ast.Name object at 0x805186950>], <_ast.Call object at 0x805186c10>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
141,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
142,4,Assign,"([<_ast.Name object at 0x80516add0>], <_ast.Call object at 0x805179a50>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
142,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
143,4,Assign,"([<_ast.Name object at 0x8051a6a50>], <_ast.Call object at 0x8051a6690>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
143,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
144,4,Assign,"([<_ast.Name object at 0x8051a6490>], <_ast.Call object at 0x8051a68d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
144,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
145,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
145,4,Assign,"([<_ast.Name object at 0x8051a67d0>], <_ast.Call object at 0x8051a6890>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
148,4,Assign,"([<_ast.Name object at 0x8051a6c50>], <_ast.Call object at 0x8051a6d10>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
148,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
149,4,Assign,"([<_ast.Name object at 0x8051a6050>], <_ast.Call object at 0x8051a6150>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
149,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
150,4,Assign,"([<_ast.Name object at 0x8051a6610>], <_ast.Call object at 0x8051a6410>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
150,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
151,4,Assign,"([<_ast.Name object at 0x8051a6310>], <_ast.Call object at 0x8051a6f10>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
151,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
152,4,Assign,"([<_ast.Name object at 0x8051a6750>], <_ast.Call object at 0x8051a6250>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
152,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
153,4,Assign,"([<_ast.Name object at 0x8051a6fd0>], <_ast.Call object at 0x8051b7290>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
153,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
154,4,Assign,"([<_ast.Name object at 0x8051b7390>], <_ast.Call object at 0x8051b7810>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
154,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
155,4,Assign,"([<_ast.Name object at 0x8051b7e90>], <_ast.Call object at 0x8051b7fd0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
155,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
156,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
156,4,Assign,"([<_ast.Name object at 0x8051b7cd0>], <_ast.Call object at 0x8051b75d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
157,4,Assign,"([<_ast.Name object at 0x8051b7350>], <_ast.Call object at 0x8051b7190>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
157,14,call,ast_str.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
160,8,Return,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
160,15,call,eval,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
162,21,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
162,8,call,logger.error,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
162,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
163,8,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
163,8,call,logger.error,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
163,58,BinOp,"(<_ast.BinOp object at 0x8051b7ad0>, <_ast.Add object at 0x80101f750>, <_ast.Str object at 0x8051b7950>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
163,21,BinOp,"(<_ast.Str object at 0x8051b7310>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x8051b72d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
164,61,BinOp,"(<_ast.BinOp object at 0x8051b77d0>, <_ast.Add object at 0x80101f750>, <_ast.Str object at 0x8051bded0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
164,14,call,Exception,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
